date,timestamp,strike_price,straddle_price,interval_volume,cumulative_volume,call_price,put_price,call_volume,put_volume,total_volume,volume_ratio,vwap_5min,price_to_vwap
2025-04-01,2025-04-01 09:15:00,11500,531.0999999999999,1935.0,1935.0,269.65,261.45,880.0,1055.0,1935.0,0.8341232227488151,531.0999999999999,1.0
2025-04-01,2025-04-01 09:20:00,11500,538.25,1524.0,3459.0,285.5,252.75,807.0,717.0,1524.0,1.1255230125523012,534.250216825672,1.0074867226036768
2025-04-01,2025-04-01 09:25:00,11500,531.75,1323.0,4782.0,293.6,238.15,603.0,720.0,1323.0,0.8375,533.5585006273526,0.9966104923354681
2025-04-01,2025-04-01 09:30:00,11500,535.45,1221.0,6003.0,320.0,215.45,503.0,718.0,1221.0,0.7005571030640668,533.9432283858072,1.0028219697040603
2025-04-01,2025-04-01 09:35:00,11500,537.4,1137.0,7140.0,331.95,205.45,496.0,641.0,1137.0,0.7737909516380655,534.4936974789916,1.005437486980139
2025-04-01,2025-04-01 09:40:00,11500,537.9,876.0,8016.0,336.0,201.9,373.0,503.0,876.0,0.7415506958250497,534.8659431137725,1.0056725557596067
2025-04-01,2025-04-01 09:45:00,11500,531.6,422.0,8438.0,323.6,208.0,105.0,317.0,422.0,0.3312302839116719,534.7026072529036,0.9941975086509423
2025-04-01,2025-04-01 09:50:00,11500,528.3,328.0,8766.0,310.7,217.6,57.0,271.0,328.0,0.21033210332103322,534.4630390143739,0.9884687273684267
2025-04-01,2025-04-01 09:55:00,11500,529.6,438.0,9204.0,307.8,221.8,102.0,336.0,438.0,0.30357142857142855,534.2316166883965,0.9913303208875824
2025-04-01,2025-04-01 10:00:00,11500,526.05,403.0,9607.0,296.05,230.0,68.0,335.0,403.0,0.20298507462686566,533.888409493078,0.9853182624801303
2025-04-01,2025-04-01 10:05:00,11500,521.6,544.0,10151.0,287.6,234.0,205.0,339.0,544.0,0.6047197640117994,533.2298640528028,0.9781897736101834
2025-04-01,2025-04-01 10:10:00,11500,520.0,467.0,10618.0,288.1,231.9,200.0,267.0,467.0,0.7490636704119851,532.6479892635149,0.9762545066939929
2025-04-01,2025-04-01 10:15:00,11500,510.9,536.0,11154.0,304.2,206.7,107.0,429.0,536.0,0.2494172494172494,531.6029003048235,0.9610557047507596
2025-04-01,2025-04-01 10:20:00,11500,519.5,798.0,11952.0,290.8,228.7,304.0,494.0,798.0,0.6153846153846154,530.7948251338689,0.9787209207794738
2025-04-01,2025-04-01 10:25:00,11500,519.9,939.0,12891.0,265.25,254.65,174.0,765.0,939.0,0.22745098039215686,530.0012295399893,0.9809411205540852
2025-04-01,2025-04-01 10:30:00,11500,511.95,1348.0,14239.0,254.5,257.45,525.0,823.0,1348.0,0.637910085054678,528.2923274106329,0.9690657490887044
2025-04-01,2025-04-01 10:35:00,11500,513.4000000000001,658.0,14897.0,270.1,243.3,215.0,443.0,658.0,0.4853273137697517,527.6345337987515,0.9730219822871172
2025-04-01,2025-04-01 10:40:00,11500,512.85,443.0,15340.0,270.05,242.8,137.0,306.0,443.0,0.4477124183006536,527.2075749674055,0.972766751372468
2025-04-01,2025-04-01 10:45:00,11500,515.0,447.0,15787.0,273.0,242.0,172.0,275.0,447.0,0.6254545454545455,526.8619243681511,0.9774857057997183
2025-04-01,2025-04-01 10:50:00,11500,514.95,402.0,16189.0,269.85,245.1,115.0,287.0,402.0,0.40069686411149824,526.5661313237384,0.9779398433876928
2025-04-01,2025-04-01 10:55:00,11500,507.2,921.0,17110.0,236.8,270.4,238.0,683.0,921.0,0.3484626647144949,525.5236879018119,0.9651325176701921
2025-04-01,2025-04-01 11:00:00,11500,508.65,636.0,17746.0,232.0,276.65,228.0,408.0,636.0,0.5588235294117647,524.9189507494648,0.9690067376568584
2025-04-01,2025-04-01 11:05:00,11500,510.0,487.0,18233.0,235.0,275.0,241.0,246.0,487.0,0.9796747967479674,524.5204683815061,0.9723166792207149
2025-04-01,2025-04-01 11:10:00,11500,509.3,435.0,18668.0,232.05,277.25,137.0,298.0,435.0,0.4597315436241611,524.1658024426828,0.9716391218705872
2025-04-01,2025-04-01 11:15:00,11500,505.65,370.0,19038.0,237.7,267.95,164.0,206.0,370.0,0.7961165048543689,523.805951255384,0.9653384021088909
2025-04-01,2025-04-01 11:20:00,11500,507.0,366.0,19404.0,242.55,264.45,152.0,214.0,366.0,0.7102803738317757,523.4889558853845,0.968501807535755
2025-04-01,2025-04-01 11:25:00,11500,508.75,345.0,19749.0,238.2,270.55,151.0,194.0,345.0,0.7783505154639175,523.2314775431668,0.9723230001161923
2025-04-01,2025-04-01 11:30:00,11500,515.05,632.0,20381.0,224.0,291.05,337.0,295.0,632.0,1.1423728813559322,522.9777758696825,0.98484108458242
2025-04-01,2025-04-01 11:35:00,11500,517.6,626.0,21007.0,221.85,295.75,367.0,259.0,626.0,1.416988416988417,522.8175203503595,0.9900203796788161
2025-04-01,2025-04-01 11:40:00,11500,524.15,326.0,21333.0,224.15,300.0,188.0,138.0,326.0,1.3623188405797102,522.837882623166,1.0025096065538535
2025-04-01,2025-04-01 11:45:00,11500,520.5,447.0,21780.0,230.65,289.85,216.0,231.0,447.0,0.935064935064935,522.7899012855831,0.995619844071295
