Date,Leg,Entry Time,Exit Time,strike_price,Entry,Exit,Reason,NetPoints,PnL
2025-04-21,Short,2025-04-21 09:35:00,2025-04-21 09:45:00,21400,21371.7,21416.7,SL,-45.0,-3375.0
2025-04-22,Long1,2025-04-22 09:40:00,2025-04-22 09:45:00,21300,21272.32,21227.32,SL,-45.0,-3375.0
2025-04-22,Long2,2025-04-22 09:40:00,2025-04-22 13:05:00,21300,21272.32,21332.83,TRL,60.51000000000204,4538.250000000153
2025-04-23,Long1,2025-04-23 09:40:00,2025-04-23 09:45:00,21000,20983.07,20938.07,SL,-45.0,-3375.0
2025-04-23,Long2,2025-04-23 09:40:00,2025-04-23 14:55:00,21000,20983.07,20566.43,EOD,-416.6399999999994,-31247.999999999956
2025-04-24,Short,2025-04-24 09:50:00,2025-04-24 09:55:00,20500,20520.7,20444.7,TP,76.0,5700.0
2025-04-25,Short,2025-04-25 09:20:00,2025-04-25 09:35:00,20200,20198.51,20122.51,TP,76.0,5700.0
2025-04-28,Short,2025-04-28 09:20:00,2025-04-28 09:50:00,20100,20087.78,20132.78,SL,-45.0,-3375.0
2025-04-29,Short,2025-04-29 09:30:00,2025-04-29 10:05:00,20300,20276.7,20200.7,TP,76.0,5700.0
2025-04-30,Short,2025-04-30 09:35:00,2025-04-30 09:50:00,20700,20745.12,20669.12,TP,76.0,5700.0
