Date,Leg,Entry Time,Exit Time,strike_price,Entry,Exit,Reason,NetPoints,PnL
2025-04-01,Short,2025-04-01 10:20:00,2025-04-01 15:20:00,700,703.95,739.7,EOD,-35.75,-1072.5
2025-04-02,Long1,2025-04-02 11:00:00,2025-04-02 15:20:00,700,739.5,736.3499999999999,EOD,-3.150000000000091,-94.50000000000273
2025-04-02,Long2,2025-04-02 11:00:00,2025-04-02 15:20:00,700,739.5,736.3499999999999,EOD,-3.150000000000091,-94.50000000000273
2025-04-03,Short,2025-04-03 12:25:00,2025-04-03 15:20:00,700,716.65,719.5,EOD,-2.8500000000000227,-85.50000000000068
2025-04-04,Short,2025-04-04 10:10:00,2025-04-04 15:20:00,700,720.65,672.15,EOD,48.5,1455.0
2025-04-09,Short,2025-04-09 10:25:00,2025-04-09 15:20:00,900,894.5,902.7,EOD,-8.200000000000045,-246.00000000000136
2025-04-11,Short,2025-04-11 10:15:00,2025-04-11 15:20:00,800,790.75,786.4000000000001,EOD,4.349999999999909,130.49999999999727
2025-04-15,Long1,2025-04-15 12:55:00,2025-04-15 15:20:00,600,581.05,558.0,EOD,-23.049999999999955,-691.4999999999986
2025-04-15,Long2,2025-04-15 12:55:00,2025-04-15 15:20:00,600,581.05,558.0,EOD,-23.049999999999955,-691.4999999999986
2025-04-16,Long1,2025-04-16 10:00:00,2025-04-16 15:20:00,500,514.55,548.8,EOD,34.25,1027.5
2025-04-16,Long2,2025-04-16 10:00:00,2025-04-16 15:20:00,500,514.55,548.8,EOD,34.25,1027.5
2025-04-17,Long1,2025-04-17 10:10:00,2025-04-17 13:10:00,500,526.35,626.35,TP,100.0,3000.0
2025-04-17,Long2,2025-04-17 10:10:00,2025-04-17 15:20:00,500,526.35,700.75,EOD,174.39999999999998,5231.999999999999
2025-04-21,Short,2025-04-21 10:45:00,2025-04-21 15:20:00,400,360.65,295.3,EOD,65.34999999999997,1960.499999999999
2025-04-22,Long1,2025-04-22 10:50:00,2025-04-22 15:20:00,300,345.70000000000005,283.55,EOD,-62.150000000000034,-1864.500000000001
2025-04-22,Long2,2025-04-22 10:50:00,2025-04-22 15:20:00,300,345.70000000000005,283.55,EOD,-62.150000000000034,-1864.500000000001
2025-04-23,Long1,2025-04-23 10:30:00,2025-04-23 13:50:00,400,360.04999999999995,290.04999999999995,SL,-70.0,-2100.0
2025-04-23,Long2,2025-04-23 10:30:00,2025-04-23 15:20:00,400,360.04999999999995,311.85,EOD,-48.19999999999993,-1445.999999999998
2025-04-24,Short,2025-04-24 10:15:00,2025-04-24 15:20:00,100,87.35,91.5,EOD,-4.150000000000006,-124.50000000000017
