Entry Time,Exit Time,Entry Price,Exit Price,Reason,PnL (pts)
2025-04-02 09:15:00+05:30,2025-04-02 09:30:00+05:30,51170.15,51215.15,SL,-45.0
2025-04-02 09:45:00+05:30,2025-04-02 10:00:00+05:30,51375.0,51299.0,TP,76.0
2025-04-02 11:15:00+05:30,2025-04-02 11:30:00+05:30,51427.35,51472.35,SL,-45.0
2025-04-03 12:45:00+05:30,2025-04-03 13:00:00+05:30,51625.0,51670.0,SL,-45.0
2025-04-07 11:45:00+05:30,2025-04-07 12:00:00+05:30,49820.05,49744.05,TP,76.0
2025-04-09 09:30:00+05:30,2025-04-09 09:45:00+05:30,50495.0,50540.0,SL,-45.0
2025-04-09 10:30:00+05:30,2025-04-09 10:45:00+05:30,50356.6,50280.6,TP,76.0
2025-04-09 11:00:00+05:30,2025-04-09 11:15:00+05:30,50226.3,50150.3,TP,76.0
2025-04-22 09:15:00+05:30,2025-04-22 09:30:00+05:30,55265.2,55310.2,SL,-45.0
2025-04-23 12:00:00+05:30,2025-04-23 12:15:00+05:30,55325.0,55249.0,TP,76.0
2025-04-24 10:30:00+05:30,2025-04-24 11:15:00+05:30,55401.6,55325.6,TP,76.0
2025-04-29 11:15:00+05:30,2025-04-29 11:30:00+05:30,55595.8,55519.8,TP,76.0
2025-04-30 10:00:00+05:30,2025-04-30 10:15:00+05:30,55439.0,55363.0,TP,76.0
2025-04-30 12:15:00+05:30,2025-04-30 12:30:00+05:30,55265.4,55310.4,SL,-45.0
